foreignpower;concession;lat;lon
International;Shanghai;31.2322758;121.4692071
International;Beijing;39.906217;116.3912757
International;Xiamen;24.4801069;118.0853479
Austria-Hungary;Tianjin;39.0856735;117.1951073
Belgium;Tianjin;39.0856735;117.1951073
France;Zhanjiang;21.2737079;110.3548318
France;Shanghai;31.2322758;121.4692071
International;Shanghai;31.2322758;121.4692071
International;Beijing;39.906217;116.3912757
International;Xiamen;24.4801069;118.0853479
Austria-Hungary;Tianjin;39.0856735;117.1951073
Belgium;Tianjin;39.0856735;117.1951073
France;Zhanjiang;21.2737079;110.3548318
France;Shanghai;31.2322758;121.4692071
France;Guangzhou;23.1301964;113.2592945
France;Wuhan;30.5951051;114.2999353
France;Tianjin;39.0856735;117.1951073
France;Kunming;24.8843019;102.8324209
Germany;Qingdao;36.0638034;120.3781372
Germany;Wuhan;30.5951051;114.2999353
Germany;Tianjin;39.0856735;117.1951073
Italy;Tianjin;39.0856735;117.1951073
Japan;Dalian;38.9181714;121.6282945
Japan;Qingdao;36.0638034;120.3781372
Japan;Tianjin;39.0856735;117.1951073
Japan;Wuhan;30.5951051;114.2999353
Japan;Chongqing;29.5647398;106.5478767
Japan;Suzhou;31.3016935;120.5810725
Japan;Hangzhou;30.2489634;120.2052342
Japan;Jingzhou;30.3375134;112.2337792
Portugal;Macau;22.1757605;113.5514142
Russia;Dalian;38.9181714;121.6282945
Russia;Tianjin;39.0856735;117.1951073
Russia;Wuhan;30.5951051;114.2999353
Russia;Harbin;45.7988273;126.5303997
Russia;Lüshunkou District;38.84531855;121.28684884032691
Russia;Liaodong;25.2252644;114.7409806
United Kingdom;Hong Kong;22.2793278;114.1628131
United Kingdom;Weihai;37.5120997;122.1152599
United Kingdom;Tianjin;39.0856735;117.1951073
United Kingdom;Wuhan;30.5951051;114.2999353
United Kingdom;Jiujiang;29.6653828;115.9474861
United Kingdom;Zhenjiang;32.1901111;119.4200584
United Kingdom;Guangzhou;23.1301964;113.2592945
United Kingdom;Xiamen;24.4801069;118.0853479
United Kingdom;Dalian;38.9181714;121.6282945
United Kingdom;Shanghai;31.2322758;121.4692071
United Kingdom;Yunnan;25.0;102.0
United States;Shanghai;31.2322758;121.4692071
United States;Tianjin;39.0856735;117.1951073
